Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet
BZ1;1;Buzzer;;;;Buzzer_Beeper:Buzzer_D14mm_H7mm_P10mm;~
C1,C2,C4,C7,C8,C9,C10,C11;8;100nF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~
C3;1;10uF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~
C5,C6;2;22pF;;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~
C12;1;100uF;;;;Capacitor_THT:CP_Radial_D6.3mm_P2.50mm;~
D1,D2;2;SS34;;;;Diode_SMD:D_SMA_Handsoldering;https://www.vishay.com/docs/88751/ss32.pdf
D3,D4,D5,D6;4;1N5819;;;;Diode_SMD:D_SOD-323_HandSoldering;~
F1;1;Fuse;;;;Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder;~
J1;1;USB_B;;;;Connector_USB:USB_B_TE_5787834_Vertical;~
J2;1;Conn_01x07_Pin;;;;Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical;~
J3;1;Conn_01x04_Socket;;;;Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical;~
J4;1;Screw_Terminal_01x06;;;;TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm;~
J5;1;Screw_Terminal_01x02;;;;TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;~
K1,K2,K3,K4;4;SANYOU_SRD_Form_C;;;;Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C;http://www.sanyourelay.ca/public/products/pdf/SRD.pdf
ON1,RX1,TX1;3;~;;;;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;~
Q1,Q2,Q3,Q4;4;IRLML2502;;;;Package_TO_SOT_SMD:SOT-23_Handsoldering;https://www.infineon.com/dgdl/irlml2060pbf.pdf?fileId=5546d462533600a401535664b7fb25ee
R1,R2,R3,R5,R6,R7,R9,R12,R14;9;1K;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;~
R4,R8,R11,R13;4;2K;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;~
R10;1;10K;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;~
R15,R16,R19,R20;4;220R;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;~
R17,R18,R21,R22;4;100K;;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;~
SW1,SW2,SW3;3;SW_Push;;;;Button_Switch_THT:SW_PUSH_6mm_H5mm;~
TP1,TP8,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18;11;TestPoint;;;;TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm;~
U1;1;CH340C;;;;Package_SO:SOIC-16_3.9x9.9mm_P1.27mm;https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf
U2;1;ATmega328-P;;;;Package_DIP:DIP-28_W7.62mm_Socket_LongPads;http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
U3;1;AMS1117-3.3;;;;Package_TO_SOT_SMD:SOT-223-3_TabPin2;http://www.advanced-monolithic.com/pdf/ds1117.pdf
Y1;1;16MHz;;;;Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;~
